input,datatype,importcolname,dbcolname,dbcoltype
hc,synoptic,,,
Station.Number,synoptic,station,station,integer
Year,synoptic,year,date,date
Month,synoptic,month,,
Day,synoptic,day,,
Hour,synoptic,hour_local,hour_local,integer
Minute.in.Local.Time,synoptic,min_local,min_local,integer
Year.1,synoptic,,,
Month.1,synoptic,,,
Day.1,synoptic,,,
Hour.1,synoptic,hour_std,hour_std,integer
Minute.in.Local.Standard.Time,synoptic,min_std,min_std,integer
Precipitation.in.mm,synoptic,precipitation,precipitation,numeric
Quality.of.precipitation,synoptic,precipitation_quality,precipitation_quality,character
Air.temperature.in.Degrees.C,synoptic,temperature,temperature,numeric
Quality.of.air.temperature,synoptic,temperature_quality,temperature_quality,character
Relative.humidity.in.percentage..,synoptic,relhumidity,relhumidity,numeric
Quality.of.relative.humidity,synoptic,relhumidity_quality,relhumidity_quality,character
Wind.speed.measured.in.km.h,synoptic,windspeed,windspeed,numeric
Quality.of.wind.speed,synoptic,windspeed_quality,windspeed_quality,character
Wind.direction.measured.in.degrees,synoptic,winddir,winddir,numeric
Quality.of.wind.direction,synoptic,winddir_quality,winddir_quality,character
X.,synoptic,,,
hm,aws,,,
Station.Number,aws,station,station,integer
Year.Month.Day.Hour.Minutes.in.YYYY,aws,year,date,date
MM,aws,month,,
DD,aws,day,,
HH24,aws,hour_local,hour_local,integer
MI.format.in.Local.time,aws,min_local,min_local,integer
Year.Month.Day.Hour.Minutes.in.YYYY.1,aws,,,
MM.1,aws,,,
DD.1,aws,,,
HH24.1,aws,hour_std,hour_std,integer
MI.format.in.Local.standard.time,aws,min_std,min_std,integer
Precipitation.since.9am.local.time.in.mm,aws,precipitation,precipitation,numeric
Quality.of.precipitation.since.9am.local.time,aws,precipitation_quality,precipitation_quality,character
Air.Temperature.in.degrees.C,aws,temperature,temperature,numeric
Quality.of.air.temperature,aws,temperature_quality,temperature_quality,character
Relative.humidity.in.percentage..,aws,relhumidity,relhumidity,numeric
Quality.of.relative.humidity,aws,relhumidity_quality,relhumidity_quality,character
Wind.speed.in.km.h,aws,windspeed,windspeed,numeric
Wind.speed.quality,aws,windspeed_quality,windspeed_quality,character
Wind.direction.in.degrees.true,aws,winddir,winddir,numeric
Wind.direction.quality,aws,winddir_quality,winddir_quality,character
Speed.of.maximum.windgust.in.last.10.minutes.in..km.h,aws,windgust,windgust,numeric
Quality.of.speed.of.maximum.windgust.in.last.10.minutes,aws,windgust_quality,windgust_quality,character
AWS.Flag,aws,,,
X.,aws,,,
